http_agent,version_release,screen_height,screen_width,model,screen_density_dpi,cpu_support_abis,screen_density
Dalvik/2.1.0 (Linux; U; Android 10; V1962BA Build/QP1A.190711.020),10,2400,1080,V1962BA,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 5.0.2; vivo Y37A Build/LRX22G),5.0.2,1280,720,vivoY37A,320,"[armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 11; SM-W2021 Build/RP1A.200720.012),11,2208,1768,SM-W2021,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 10; MIX 3 MIUI/V12.5.1.0.QEECNXM),10,2340,1080,MIX3,490,"[arm64-v8a, armeabi-v7a, armeabi]",3.0625
Dalvik/2.1.0 (Linux; U; Android 8.1.0; CLT-AL01 Build/HUAWEICLT-AL01),8.1.0,2240,1080,CLT-AL01,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.2; Redmi Note 5A MIUI/V10.2.1.0.NDKCNXM),7.1.2,1280,720,RedmiNote5A,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 11; Mi 10 Pro Build/RKQ1.200826.002),11,2340,1080,Mi10Pro,352,"[arm64-v8a, armeabi-v7a, armeabi]",2.2
Dalvik/2.1.0 (Linux; U; Android 10; SM-G9810 Build/QP1A.190711.020),10,2400,1080,SM-G9810,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; PCAT10 Build/PPR1.180610.011),9,2340,1080,PCAT10,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 9; SM-G9750 Build/PPR1.180610.011),9,3040,1440,SM-G9750,560,"[arm64-v8a, armeabi-v7a, armeabi]",3.5
Dalvik/2.1.0 (Linux; U; Android 10; SM-G9750 Build/QP1A.190711.020),10,2280,1080,SM-G9750,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 8.1.0; MI 6X MIUI/V9.6.6.0.ODCCNFD),8.1.0,2160,1080,MI6X,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-G9500 Build/R16NW),8.0.0,2960,1440,SM-G9500,640,"[arm64-v8a, armeabi-v7a, armeabi]",4
Dalvik/2.1.0 (Linux; U; Android 8.1.0; MI PLAY MIUI/V11.0.8.0.OFICNXM),8.1.0,2280,1080,MIPLAY,503,"[arm64-v8a, armeabi-v7a, armeabi]",3.14375
Dalvik/2.1.0 (Linux; U; Android 8.1.0; Hongsha Build/O11019),8.1.0,1560,720,Hongsha,272,"[arm64-v8a, armeabi-v7a, armeabi]",1.7
Dalvik/2.1.0 (Linux; U; Android 9; MI 8 MIUI/V10.3.2.0.PEACNXM),9,2248,1080,MI8,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 9; PCDM10 Build/PPR1.180610.011),9,2340,1080,PCDM10,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 6.0.1; vivo Y53 Build/MMB29M),6.0.1,960,540,vivoY53,240,"[armeabi-v7a, armeabi]",1.5
Dalvik/2.1.0 (Linux; U; Android 9; Redmi 6 Pro MIUI/V11.0.3.0.PDICNXM),9,2280,1080,Redmi6Pro,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 7.1.2; SM-G9730 Build/N2G47H),7.1.2,1920,1080,SM-G9730,280,"[x86, armeabi-v7a, armeabi]",1.75
Dalvik/2.1.0 (Linux; U; Android 9; MIX 3 MIUI/V10.0.11.0.PEECNFH),9,2340,1080,MIX3,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 9; SM-A6050 Build/PPR1.180610.011),9,2220,1080,SM-A6050,540,"[armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 11; SM-G986U1 Build/RP1A.200720.012),11,2400,1080,SM-G986U1,450,"[arm64-v8a, armeabi-v7a, armeabi]",2.8125
Dalvik/2.1.0 (Linux; U; Android 7.1.2; V1824A Build/N2G47O),7.1.2,1600,900,V1824A,240,"[x86, armeabi-v7a, armeabi]",1.5
Dalvik/2.1.0 (Linux; U; Android 11; SM-T865 Build/RP1A.200720.012),11,2560,1600,SM-T865,360,"[arm64-v8a, armeabi-v7a, armeabi]",2.25
Dalvik/2.1.0 (Linux; U; Android 8.1.0; MI 6X MIUI/V10.2.3.0.ODCCNXM),8.1.0,2160,1080,MI6X,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; ONEPLUS A5010 Build/QKQ1.191014.012),10,2160,1080,ONEPLUSA5010,500,"[arm64-v8a, armeabi-v7a, armeabi]",3.125
Dalvik/2.1.0 (Linux; U; Android 10; LIO-L29 Build/HUAWEILIO-L29),10,2400,1176,LIO-L29,534,"[arm64-v8a, armeabi-v7a, armeabi]",3.3375
Dalvik/2.1.0 (Linux; U; Android 8.1.0; Redmi Note 5 MIUI/V10.0.1.0.OEICNFH),8.1.0,2160,1080,RedmiNote5,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; SM-G960U1 Build/QP1A.190711.020),10,2960,1440,SM-G960U1,640,"[arm64-v8a, armeabi-v7a, armeabi]",4
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Mi Note 2 MIUI/V8.2.5.0.MADCNDL),6.0.1,1920,1080,MiNote2,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 8.1.0; ZTE V890 Build/OPM1.171019.019),8.1.0,2160,1080,ZTEV890,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 9; SM-N950N Build/PPR1.180610.011),9,1480,720,SM-N950N,280,"[arm64-v8a, armeabi-v7a, armeabi]",1.75
Dalvik/2.1.0 (Linux; U; Android 11; SM-T865N Build/RP1A.200720.012),11,2560,1600,SM-T865N,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 11; SM-N9700 Build/RP1A.200720.012),11,2280,1080,SM-N9700,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; SM-A5260 Build/RP1A.200720.012),11,2400,1080,SM-A5260,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.2; Redmi 5 Plus MIUI/V9.6.1.0.NEGCNFD),7.1.2,2160,1080,Redmi5Plus,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 5.1.1; huawei rio-al00 Build/LMY49I),5.1.1,854,480,huaweirio-al00,160,"[x86, armeabi-v7a, armeabi]",1
Dalvik/2.1.0 (Linux; U; Android 10; ZTE A2021H Build/QKQ1.200415.002),10,2340,1080,ZTEA2021H,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 10; HLK-AL10 Build/HONORHLK-AL10),10,1560,720,HLK-AL10,360,"[arm64-v8a, armeabi-v7a, armeabi]",2.25
Dalvik/2.1.0 (Linux; U; Android 5.1.1; V1824A Build/LMY47I),5.1.1,1600,900,V1824A,240,"[x86, armeabi-v7a, armeabi]",1.5
Dalvik/2.1.0 (Linux; U; Android 10; BKL-AL00 Build/HUAWEIBKL-AL00),10,2160,1080,BKL-AL00,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 9; Mi Note 3 MIUI/9.8.22),9,1920,1080,MiNote3,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 11; meizu 17 Build/QKQ1.200223.002),11,2340,1080,meizu17,490,"[arm64-v8a, armeabi-v7a, armeabi]",3.0625
Dalvik/2.1.0 (Linux; U; Android 10; GM1910 Build/QKQ1.190716.003),10,3120,1440,GM1910,490,"[arm64-v8a, armeabi-v7a, armeabi]",3.0625
Dalvik/2.1.0 (Linux; U; Android 9; MI CC 9 Meitu Edition MIUI/V11.3.3.0.PFECNXM),9,2340,1080,MICC9MeituEdition,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 9; F12 Pro Build/PPR1.180610.011),9,1600,720,F12Pro,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 9; SM-G9608 Build/PPR1.180610.011),9,2220,1080,SM-G9608,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 7.0; BLN-AL20 Build/HONORBLN-AL20),7.0,1920,1080,BLN-AL20,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.2; M6 Note Build/N2G47H),7.1.2,1920,1080,M6Note,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 10; MI 8 SE MIUI/V11.0.2.0.QEBCNXM),10,2244,1080,MI8SE,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 11; GM1900 Build/RKQ1.201022.002),11,2340,1080,GM1900,510,"[arm64-v8a, armeabi-v7a, armeabi]",3.1875
Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo X21i Build/O11019),8.1.0,2280,1080,vivoX21i,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; SM-G9810 Build/RP1A.200720.012),11,1600,720,SM-G9810,360,"[arm64-v8a, armeabi-v7a, armeabi]",2.25
Dalvik/2.1.0 (Linux; U; Android 10; PCLM10 Build/QKQ1.191021.002),10,2400,1080,PCLM10,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 10; Pixel XL Build/QP1A.191005.007.A3),10,2560,1440,PixelXL,560,"[arm64-v8a, armeabi-v7a, armeabi]",3.5
Dalvik/2.1.0 (Linux; U; Android 10; MI MAX 3 MIUI/V12.0.1.0.QEDCNXM),10,2160,1080,MIMAX3,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; AWM-A0 MIUI/V11.0.4.0.JOYUI),10,2160,1080,AWM-A0,490,"[arm64-v8a, armeabi-v7a, armeabi]",3.0625
Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-N9500 Build/R16NW),8.0.0,2220,1080,SM-N9500,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 9; V1816A Build/PKQ1.180819.001),9,2340,1080,V1816A,401,"[arm64-v8a, armeabi-v7a, armeabi]",2.5062501
Dalvik/2.1.0 (Linux; U; Android 8.1.0; SM-G6200 Build/OPM1.171019.026),8.1.0,2160,1080,SM-G6200,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; X12 (K12) Pro Max Build/PPR1.180610.011),9,1560,720,X12(K12)ProMax,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; PCT-TL10 Build/HUAWEIPCT-TL10),10,1540,720,PCT-TL10,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 11; SM-N986U1 Build/RP1A.200720.012),11,2316,1080,SM-N986U1,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 11; SM-G9750 Build/RP1A.200720.012),11,3040,1440,SM-G9750,600,"[arm64-v8a, armeabi-v7a, armeabi]",3.75
Dalvik/2.1.0 (Linux; U; Android 7.1.2; AGM X1 Build/N2G47H),7.1.2,1920,1080,AGMX1,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.1; Mi Note 3 MIUI/V9.6.1.0.NCHCNFD),7.1.1,1920,1080,MiNote3,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 9; V21(X21S) Build/PPR1.180610.011),9,1520,720,V21(X21S),320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 11; MEIZU 18 Build/RKQ1.201105.002),11,2400,1080,MEIZU18,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 11; RMX2052 Build/RKQ1.201217.002),11,2400,1080,RMX2052,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 10; CLT-L29 Build/HUAWEICLT-L29),10,2240,1080,CLT-L29,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; NOP-AN00 Build/HUAWEINOP-AN00),10,2376,1152,NOP-AN00,528,"[arm64-v8a, armeabi-v7a, armeabi]",3.3
Dalvik/2.1.0 (Linux; U; Android 9; V1829T Build/PKQ1.181030.001),9,2340,1080,V1829T,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; X60 Pro Build/PPR1.180610.011),9,1600,720,X60Pro,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 11; SM-G9960 Build/RP1A.200720.012),11,2400,1080,SM-G9960,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 8.1.0; Redmi Note 5 MIUI/V10.3.4.0.OEICNXM),8.1.0,2160,1080,RedmiNote5,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; Redmi 7 MIUI/V12.5.1.0.QFLCNXM),10,1520,720,Redmi7,336,"[arm64-v8a, armeabi-v7a, armeabi]",2.1000001
Dalvik/2.1.0 (Linux; U; Android 11; V2069A Build/RP1A.200720.012),11,2408,1080,V2069A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; Redmi Note 7 MIUI/V12.0.1.0.QFGCNXM),10,2260,1080,RedmiNote7,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; MI 8 SE MIUI/20.9.4),10,2244,1080,MI8SE,490,"[arm64-v8a, armeabi-v7a, armeabi]",3.0625
Dalvik/2.1.0 (Linux; U; Android 11; GM1910 Build/RKQ1.201022.002),11,3120,1440,GM1910,470,"[arm64-v8a, armeabi-v7a, armeabi]",2.9375
Dalvik/2.1.0 (Linux; U; Android 11; PCPM00 Build/RP1A.200720.011),11,2400,1080,PCPM00,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 9; Redmi K20 Pro MIUI/V10.3.11.0.PFKCNXM),9,2340,1080,RedmiK20Pro,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 9; MI 9 SE MIUI/V10.2.8.0.PFBCNXM),9,2340,1080,MI9SE,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 8.1.0; V1818CT Build/O11019),8.1.0,1520,720,V1818CT,274,"[arm64-v8a, armeabi-v7a, armeabi]",1.7125
Dalvik/2.1.0 (Linux; U; Android 11; RMX3350 Build/RP1A.200720.011),11,2400,1080,RMX3350,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 9; Mi Note 3 MIUI/9.8.1),9,1920,1080,MiNote3,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; SM-A3050 Build/QP1A.190711.020),10,1560,720,SM-A3050,280,"[arm64-v8a, armeabi-v7a, armeabi]",1.75
Dalvik/2.1.0 (Linux; U; Android 9; V1824BA Build/PKQ1.181216.001),9,2340,1080,V1824BA,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; SM-N9508 Build/PPR1.180610.011),9,2220,1080,SM-N9508,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 10; Mi 10 MIUI/V11.0.20.0.QJBCNXM),10,2340,1080,Mi10,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 9; POT-AL00a Build/HUAWEIPOT-AL00a),9,2340,1080,POT-AL00a,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 9; Redmi Note 7 Pro MIUI/V10.2.8.0.PFHCNXM),9,2340,1080,RedmiNote7Pro,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 11; PDHM00 Build/RKQ1.200710.002),11,2400,1080,PDHM00,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 9; SAC-A0 Build/PKQ1.190407.001),9,2340,1080,SAC-A0,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; 16T Build/QKQ1.191222.002),10,2232,1080,16T,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 11; SM-G7810 Build/RP1A.200720.012),11,2400,1080,SM-G7810,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 9; MHA-TL00 Build/HUAWEIMHA-TL00),9,1920,1080,MHA-TL00,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 11; SM-G981U1 Build/RP1A.200720.012),11,2400,1080,SM-G981U1,450,"[arm64-v8a, armeabi-v7a, armeabi]",2.8125
Dalvik/2.1.0 (Linux; U; Android 10; PCPM00 Build/QP1A.190711.020),10,2400,1080,PCPM00,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 11; PEGT00 Build/RKQ1.200903.002),11,2400,1080,PEGT00,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 10; SM-G9860 Build/QP1A.190711.020),10,3200,1440,SM-G9860,640,"[arm64-v8a, armeabi-v7a, armeabi]",4
Dalvik/2.1.0 (Linux; U; Android 9; Redmi 8A MIUI/V11.0.8.0.PCPCNXM),9,1520,720,Redmi8A,320,"[armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 5.0.2; vivo Y37 Build/LRX22G),5.0.2,1280,720,vivoY37,320,"[armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; SM-G9600 Build/QP1A.190711.020),10,2960,1440,SM-G9600,560,"[arm64-v8a, armeabi-v7a, armeabi]",3.5
Dalvik/2.1.0 (Linux; U; Android 11; ONEPLUS A6013 Build/RKQ1.201217.002),11,2340,1080,ONEPLUSA6013,450,"[arm64-v8a, armeabi-v7a, armeabi]",2.8125
Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo X6SPlus A Build/LMY47V),5.1.1,1920,1080,vivoX6SPlusA,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; RMX2176 Build/RP1A.200720.011),11,2400,1080,RMX2176,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 11; SM-G9810 Build/RP1A.200720.012),11,1600,720,SM-G9810,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; RMX2117 Build/QP1A.190711.020),10,2400,1080,RMX2117,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 10; SM-N970U Build/QP1A.190711.020),10,2280,1080,SM-N970U,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 11; SM-E5260 Build/RP1A.200720.012),11,2408,1080,SM-E5260,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 10; HD1910 Build/QKQ1.190716.003),10,3120,1440,HD1910,560,"[arm64-v8a, armeabi-v7a, armeabi]",3.5
Dalvik/2.1.0 (Linux; U; Android 10; M2006J10C MIUI/V12.0.8.0.QJNCNXM),10,2400,1080,M2006J10C,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 11; ASUS_I003DD Build/RKQ1.200710.002),11,2340,1080,ASUS_I003DD,356,"[arm64-v8a, armeabi-v7a, armeabi]",2.2250001
Dalvik/2.1.0 (Linux; U; Android 9; MI 8 Lite MIUI/V10.2.3.0.PDTCNXM),9,2280,1080,MI8Lite,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; MIX 2S MIUI/V12.0.2.0.QDGCNXM),10,2160,1080,MIX2S,461,"[arm64-v8a, armeabi-v7a, armeabi]",2.8812501
Dalvik/2.1.0 (Linux; U; Android 11; PEDM00 Build/RKQ1.201105.002),11,2412,1080,PEDM00,380,"[arm64-v8a, armeabi-v7a, armeabi]",2.375
Dalvik/2.1.0 (Linux; U; Android 10; AWM-A0 MIUI/V11.0.4.0.JOYUI),10,2160,1080,AWM-A0,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 11; ONEPLUS A6000 Build/RKQ1.201217.002),11,2201,1080,ONEPLUSA6000,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 9; vivo X21A Build/PKQ1.180819.001),9,2280,1080,vivoX21A,454,"[arm64-v8a, armeabi-v7a, armeabi]",2.8375
Dalvik/1.6.0 (Linux; U; Android 6.0; KT-101-A Build/KOT49H),6.0,1280,800,KT-101-A,210,"[armeabi-v7a, armeabi]",1.3125
Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-C7010 Build/R16NW),8.0.0,1920,1080,SM-C7010,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 11; SM-N9760 Build/RP1A.200720.012),11,2280,1080,SM-N9760,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 11; MI 9 Transparent Edition Build/RKQ1.200826.002),11,2340,1080,MI9TransparentEdition,490,"[arm64-v8a, armeabi-v7a, armeabi]",3.0625
Dalvik/2.1.0 (Linux; U; Android 10; SM-G9750 Build/QP1A.190711.020),10,3040,1440,SM-G9750,600,"[arm64-v8a, armeabi-v7a, armeabi]",3.75
Dalvik/2.1.0 (Linux; U; Android 9; HRY-AL00T Build/HONORHRY-AL00T),9,1560,720,HRY-AL00T,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 11; PEEM00 Build/RKQ1.201105.002),11,2412,1080,PEEM00,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 10; moto g 5G plus Build/QPN30.37-Q3-42-51),10,2520,1080,motog5Gplus,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 10; YAL-L21 Build/HUAWEIYAL-L71),10,2340,1080,YAL-L21,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 5.1; MX5 Build/LMY47I),5.1,1920,1080,MX5,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; MI 6X MIUI/9.9.26),9,2160,1080,MI6X,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 11; meizu 17 Pro Build/QKQ1.200127.002),11,2340,1080,meizu17Pro,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 11; HD1900 Build/RKQ1.201022.002),11,2332,1080,HD1900,450,"[arm64-v8a, armeabi-v7a, armeabi]",2.8125
Dalvik/2.1.0 (Linux; U; Android 10; MI 9 Transparent Edition MIUI/9.12.5),10,2340,1080,MI9TransparentEdition,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 11; SM-G9750 Build/RP1A.200720.012),11,1520,720,SM-G9750,300,"[arm64-v8a, armeabi-v7a, armeabi]",1.875
Dalvik/2.1.0 (Linux; U; Android 9; Redmi 7A MIUI/V10.2.3.0.PCMCNXM),9,1440,720,Redmi7A,320,"[armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; M2007J22C MIUI/V12.0.3.0.QJECNXM),10,2340,1080,M2007J22C,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 9; ANE-TL00 Build/HUAWEIANE-TL00),9,1520,720,ANE-TL00,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; NEO-AL00 Build/HUAWEINEO-AL00),10,2880,1440,NEO-AL00,544,"[arm64-v8a, armeabi-v7a, armeabi]",3.4
Dalvik/2.1.0 (Linux; U; Android 8.1.0; Redmi 6 Pro MIUI/V10.2.2.0.ODICNXM),8.1.0,2280,1080,Redmi6Pro,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; ALP-TL00 Build/HUAWEIALP-TL00),10,1280,720,ALP-TL00,360,"[arm64-v8a, armeabi-v7a, armeabi]",2.25
Dalvik/2.1.0 (Linux; U; Android 10; M2004J7BC MIUI/V12.0.2.0.QJLCNXM),10,2400,1080,M2004J7BC,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-G9608 Build/R16NW),8.0.0,2220,1080,SM-G9608,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.1; Mi Note 3 MIUI/V9.5.10.0.NCHCNFA),7.1.1,1920,1080,MiNote3,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; 16s Build/QKQ1.191222.002),10,2232,1080,16s,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 10; M2007J1SC MIUI/V12.0.8.0.QJJCNXM),10,2340,1080,M2007J1SC,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 11; Redmi K20 Pro Build/RKQ1.200826.002),11,2340,1080,RedmiK20Pro,411,"[arm64-v8a, armeabi-v7a, armeabi]",2.5687501
Dalvik/2.1.0 (Linux; U; Android 7.0; SM-C5010 Build/NRD90M),7.0,1920,1080,SM-C5010,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 11; XQ-AT72 Build/58.1.A.5.159),11,2560,1096,XQ-AT72,548,"[arm64-v8a, armeabi-v7a, armeabi]",3.425
