http_agent,version_release,screen_height,screen_width,model,screen_density_dpi,cpu_support_abis,screen_density
Dalvik/2.1.0 (Linux; U; Android 6.0; vivo Y67 Build/MRA58K),6.0,1280,720,vivoY67,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 9; MHA-AL00 Build/HUAWEIMHA-AL00),9,1920,1080,MHA-AL00,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V2020CA Build/QP1A.190711.020),10,2400,1080,V2020CA,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; V1816A Build/PKQ1.180819.001),9,2340,1080,V1816A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V1921A Build/QP1A.190711.020),10,2340,1080,V1921A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; V2054A Build/RP1A.200720.012),11,2408,1080,V2054A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V2057A Build/QP1A.190711.020),10,2408,1080,V2057A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo X9s Plus L Build/OPM1.171019.019),8.1.0,1920,1080,vivoX9sPlusL,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; V1986A Build/RP1A.200720.012),11,2408,1080,V1986A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V2031EA Build/QP1A.190711.020),10,2400,1080,V2031EA,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; vivo NEX S Build/QP1A.190711.020),10,2316,1080,vivoNEXS,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 8.1.0; V1813A Build/O11019),8.1.0,2280,1080,V1813A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V1962A Build/QP1A.190711.020),10,2400,1080,V1962A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; V1936A Build/RP1A.200720.012),11,2340,1080,V1936A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; vivo X21 Build/PKQ1.180819.001),9,2280,1080,vivoX21,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo X7Plus Build/LMY47V),5.1.1,1920,1080,vivoX7Plus,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo Xplay5A Build/LMY47V),5.1.1,2560,1440,vivoXplay5A,640,"[arm64-v8a, armeabi-v7a, armeabi]",4
Dalvik/2.1.0 (Linux; U; Android 10; vivo NEX A Build/QP1A.190711.020),10,2316,1080,vivoNEXA,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo Y66i A Build/N2G47H),7.1.2,1280,720,vivoY66iA,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; V1938T Build/QP1A.190711.020),10,2400,1080,V1938T,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; V1955A Build/RP1A.200720.012),11,2400,1080,V1955A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo X20A Build/OPM1.171019.011),8.1.0,2160,1080,vivoX20A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; V1809A Build/PKQ1.181030.001),9,2340,1080,V1809A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; V2111A Build/RP1A.200720.012),11,2408,1080,V2111A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; V1816T Build/PKQ1.180819.001),9,2340,1080,V1816T,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; V2025A Build/RP1A.200720.012),11,2376,1080,V2025A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
