screen_height,screen_width,screen_density_dpi,screen_density
2400,1080,540,3.375
1920,1080,540,3.375
2000,1200,320,2
1280,720,320,2
2400,1080,480,3
2000,1200,320,2
1440,720,320,2
1280,720,293,1.8312501
1440,720,272,1.7
1600,720,272,1.7
2244,1080,480,3
1920,1080,500,3.125
2310,1080,480,3
1600,1272,400,2.5
2340,1080,480,3
1920,1080,480,3
1600,720,320,2
2400,1080,440,2.75
960,480,230,1.4375
1280,720,320,2
2280,1080,480,3
2160,1080,420,2.625
3200,1440,448,2.8
1280,720,320,2
1920,1080,540,3.375
1440,720,320,2
2160,1080,420,2.625
2400,1080,440,2.75
2400,1080,440,2.75
1280,720,320,2
2960,1440,720,4.5
2340,1080,440,2.75
2400,1080,420,2.625
1920,1080,440,2.75
2160,1080,440,2.75
2340,1080,480,3
2220,1080,420,2.625
2280,1080,480,3
1920,1080,426,2.6625001
2400,1080,461,2.8812501
2340,1080,352,2.2
2220,1080,480,3
3200,1440,560,3.5
2208,1768,420,2.625
2340,1080,461,2.8812501
2340,1080,440,2.75
2340,1080,440,2.75
2160,1080,440,2.75
1280,720,320,2
3040,1440,560,3.5
2280,1080,490,3.0625
1520,720,320,2
2340,1080,440,2.75
2264,1080,440,2.75
2340,1080,480,3
2340,1080,352,2.2
2400,1080,440,2.75
2310,1080,500,3.125
1440,720,320,2
2232,1080,480,3
2400,1080,440,2.75
2280,1080,420,2.625
2220,1080,480,3
1920,1200,240,1.5
1520,720,320,2
2340,1080,440,2.75
1440,720,320,2
2400,1080,540,3.375
3040,1440,560,3.5
1280,720,320,2
2400,1080,408,2.55
2408,1080,450,2.8125
2400,1080,408,2.55
2304,1080,440,2.75
1520,720,320,2
1920,1080,480,3
2316,1080,420,2.625
3200,1440,640,4
2340,1080,440,2.75
2198,1080,440,2.75
2340,1080,440,2.75
1920,1080,480,3
2400,1080,420,2.625
2376,1080,480,3
2400,1080,408,2.55
2376,1080,400,2.5
1920,1080,420,2.625
1920,1080,440,2.75
2340,1080,440,2.75
2244,1080,540,3.375
2400,1080,440,2.75
1440,720,320,2
2376,1104,480,3
2340,1080,440,2.75
1920,1080,375,2.34375
2340,1080,480,3
2460,1080,540,3.375
1920,1080,480,3
1600,720,320,2
2340,1080,440,2.75
2400,1080,420,2.625
1920,1080,540,3.375
2280,1080,450,2.8125
2560,1440,640,4
1280,720,320,2
1920,1080,408,2.55
2248,1080,440,2.75
2232,1080,480,3
2248,1080,440,2.75
2248,1080,440,2.75
2400,1080,440,2.75
1920,1080,480,3
2340,1080,440,2.75
2270,1080,480,3
2280,1080,440,2.75
2160,1080,480,3
2340,1080,490,3.0625
2400,1080,440,2.75
2160,1080,440,2.75
1620,1080,420,2.625
2400,1080,420,2.625
2400,1080,420,2.625
2280,1080,480,3
2340,1080,480,3
2340,1080,440,2.75
720,1520,320,2
2340,1080,468,2.925
2152,1536,420,2.625
2232,1080,480,3
2280,1080,480,3
2248,1080,440,2.75
1920,1080,420,2.625
2160,1080,480,3
2400,1080,408,2.55
3200,1440,448,2.8
1560,720,320,2
2400,1080,480,3
3168,1440,500,3.125
2400,1080,408,2.55
3120,1440,560,3.5
2244,1080,480,3
2560,1440,640,4
2400,1080,480,3
2158,1080,540,3.375
2160,1080,540,3.375
1920,1080,480,3
2248,1080,440,2.75
480,320,160,1
2160,1080,440,2.75
2376,1080,420,2.625
3040,1440,640,4
2248,1080,540,3.375
480,320,160,1
2400,1080,510,3.1875
1920,1080,480,3
2400,1080,408,2.55
1920,1200,240,1.5
1920,1080,480,3
1920,1080,480,3
1920,1080,320,2
2340,1080,408,2.55
1600,720,360,2.25
2400,1080,440,2.75
2340,1080,540,3.375
1920,1200,204,1.275
2340,1080,408,2.55
2340,1080,540,3.375
2400,1080,440,2.75
2160,1080,480,3
1200,540,240,1.5
2160,1080,440,2.75
2340,1080,440,2.75
2160,1080,540,3.375
1800,1080,480,3
2280,1080,540,3.375
2160,1080,440,2.75
1920,1080,480,3
2340,1080,440,2.75
1920,1080,480,3
1600,720,272,1.7
1600,720,320,2
2400,1080,540,3.375
1920,1080,480,3
1280,720,320,2
2340,1080,408,2.55
2160,1080,461,2.8812501
2340,1080,408,2.55
2280,1080,420,2.625
1920,1200,360,2.25
2340,1080,440,2.75
1520,720,320,2
2453,1133,476,2.9750001
2260,1080,440,2.75
1280,720,240,1.5
2220,1080,420,2.625
2280,1080,440,2.75
2232,1080,480,3
2158,1080,352,2.2
2340,1080,440,2.75
2340,1080,396,2.4750001
2280,1080,384,2.4
2340,1080,440,2.75
1600,720,320,2
2400,1080,480,3
1440,720,360,2.25
2340,1080,420,2.625
1440,720,320,2
2248,1080,440,2.75
3040,1440,560,3.5
2412,1080,540,3.375
1920,1080,480,3
2160,1080,374,2.3375
2280,1080,420,2.625
2960,1440,640,4
2248,1080,540,3.375
2560,1600,400,2.5
2400,1080,461,2.8812501
2400,1080,440,2.75
2400,1080,480,3
3040,1440,560,3.5
1080,2312,480,3
2160,1080,480,3
3216,1440,560,3.5
1600,720,320,2
2340,1080,480,3
2340,1080,480,3
2160,1080,490,3.0625
2280,1080,480,3
1920,1080,480,3
3200,1440,587,3.66875
2340,1080,461,2.8812501
2340,1080,440,2.75
1920,1080,503,3.14375
1620,1080,420,2.625
2232,1080,480,3
2400,1080,408,2.55
1920,1080,480,3
2220,1080,480,3
2160,1080,461,2.8812501
2400,1080,408,2.55
1280,720,320,2
2340,1080,384,2.4
2160,1080,480,3
2340,1080,384,2.4
2340,1080,440,2.75
2400,1080,440,2.75
2520,1080,460,2.875
2400,1080,480,3
3040,1440,640,4
1920,1080,480,3
2340,1080,420,2.625
2280,1080,500,3.125
2248,1080,440,2.75
1920,1200,480,3
2340,1080,461,2.8812501
480,320,160,1
2400,1080,400,2.5
2248,1080,440,2.75
1440,720,320,2
3120,1440,491,3.0687501
2400,1080,440,2.75
1600,720,272,1.7
2340,1080,440,2.75
2560,1600,640,4
1920,1080,540,3.375
2400,1080,420,2.625
2280,1080,440,2.75
2280,1080,480,3
2636,1080,480,3
1920,1080,420,2.625
2248,1080,408,2.55
2280,1080,540,3.375
2400,1080,374,2.3375
2248,1080,480,3
2400,1080,440,2.75
2160,1080,540,3.375
2340,1080,540,3.375
3200,1440,545,3.40625
2340,1080,440,2.75
2160,1080,461,2.8812501
1920,1080,480,3
1600,720,280,1.75
2340,1080,540,3.375
2772,1344,476,2.9750001
2400,1080,440,2.75
2376,1080,480,3
2560,1440,720,4.5
1920,1080,540,3.375
2400,1080,420,2.625
1920,1080,480,3
2400,1080,408,2.55
1920,1080,540,3.375
1600,1272,400,2.5
1014,480,240,1.5
2160,1080,480,3
2340,1080,440,2.75
2340,1080,480,3
2340,1080,461,2.8812501
2400,1128,408,2.55
2160,1080,490,3.0625
3216,1440,680,4.25
2340,1080,408,2.55
1600,720,360,2.25
2400,1080,480,3
3040,1440,600,3.75
2160,1080,440,2.75
2190,1080,461,2.8812501
2340,1080,440,2.75
2160,1080,440,2.75
1920,1080,480,3
2280,1080,440,2.75
1440,720,320,2
2340,1080,440,2.75
1920,1080,440,2.75
1920,1080,480,3
2400,1080,408,2.55
2400,1080,461,2.8812501
1496,720,360,2.25
1920,1080,480,3
2232,1080,540,3.375
2340,1080,440,2.75
1560,720,320,2
2340,1080,440,2.75
2340,1080,440,2.75
2160,1080,440,2.75
2376,1080,420,2.625
2220,1080,480,3
2340,1080,440,2.75
2400,1080,480,3
2244,1080,480,3
1920,1080,480,3
1480,720,320,2
2240,1080,480,3
3200,1440,600,3.75
2340,1080,420,2.625
1920,1080,540,3.375
1600,720,320,2
3040,1440,560,3.5
2160,1080,540,3.375
2280,1080,450,2.8125
2160,1080,440,2.75
2400,1080,450,2.8125
2340,1080,440,2.75
2160,1080,440,2.75
2232,1080,408,2.55
2146,920,460,2.875
1600,720,320,2
2280,1080,440,2.75
1280,720,320,2
1920,1080,480,3
1920,1080,480,3
2400,1080,450,2.8125
1480,720,280,1.75
1920,1080,440,2.75
1544,720,320,2
2340,1080,461,2.8812501
2400,1080,540,3.375
1600,720,320,2
2240,1080,540,3.375
2400,1080,440,2.75
3168,1440,680,4.25
1920,1080,480,3
2400,1080,540,3.375
3216,1440,500,3.125
2160,1080,420,2.625
2220,1080,540,3.375
2340,1080,461,2.8812501
2160,1080,408,2.55
1520,720,360,2.25
2232,1080,408,2.55
1520,720,320,2
2244,1080,440,2.75
1520,720,320,2
2340,1080,408,2.55
1920,1200,320,2
2560,1440,640,4
2160,1080,420,2.625
2000,1200,372,2.325
1920,1080,540,3.375
2340,1080,523,3.26875
1544,720,280,1.75
2232,1080,540,3.375
2340,1080,480,3
1560,720,320,2
2248,1080,440,2.75
2340,1080,440,2.75
2340,1080,480,3
2400,1080,420,2.625
2960,1440,680,4.25
2220,1080,420,2.625
2152,1536,460,2.875
2280,1080,420,2.625
2400,1080,480,3
2220,1080,480,3
2268,1080,440,2.75
2400,1080,440,2.75
1600,720,320,2
1920,1080,540,3.375
2560,1440,640,4
2400,1080,440,2.75
2400,1080,480,3
2340,1080,440,2.75
2400,1080,450,2.8125
2772,1288,616,3.8500001
2160,1080,480,3
1440,720,360,2.25
1920,1080,503,3.14375
1600,720,272,1.7
2340,1080,440,2.75
2160,1080,408,2.55
2960,1440,720,4.5
2340,1080,352,2.2
1920,1080,480,3
2152,1536,420,2.625
2248,1080,440,2.75
2232,1080,408,2.55
2340,1080,490,3.0625
2340,1080,408,2.55
2340,1080,440,2.75
2340,1080,440,2.75
1480,720,320,2
2400,1080,540,3.375
1560,720,320,2
3200,1440,586,3.6625001
2232,1080,540,3.375
2340,1080,380,2.375
1520,720,280,1.75
2220,1080,480,3
2340,1080,540,3.375
2400,1080,408,2.55
1920,1080,480,3
2248,1080,440,2.75
2400,1080,540,3.375
2244,1080,480,3
1920,1080,480,3
2160,1080,480,3
2340,1080,420,2.625
1920,1080,480,3
2160,1080,440,2.75
2280,1080,480,3
1560,720,336,2.1000001
2400,1080,408,2.55
1280,720,320,2
1920,1080,480,3
3200,1440,640,4
2340,1080,380,2.375
2560,1440,640,4
2280,1080,450,2.8125
1640,720,320,2
2160,1080,408,2.55
2340,1080,500,3.125
2244,1080,461,2.8812501
2340,1080,420,2.625
2340,1080,440,2.75
1920,1080,480,3
2340,1080,440,2.75
1280,720,360,2.25
2400,1080,420,2.625
2160,1080,420,2.625
3040,1440,560,3.5
1600,720,320,2
2960,1440,560,3.5
2400,1080,510,3.1875
1920,1080,480,3
2240,1080,440,2.75
2340,1080,461,2.8812501
960,540,240,1.5
2340,1080,500,3.125
2400,1080,408,2.55
2400,1080,440,2.75
1280,720,320,2
1920,1080,440,2.75
2412,1080,420,2.625
3040,1440,560,3.5
2280,1080,450,2.8125
1280,720,320,2
1440,720,320,2
1560,720,320,2
2280,1080,420,2.625
1600,720,360,2.25
2340,1080,540,3.375
2340,1080,462,2.8875
3200,1440,600,3.75
3040,1440,560,3.5
1440,720,360,2.25
2340,1080,380,2.375
2280,1080,540,3.375
3168,1440,720,4.5
2220,1080,480,3
1540,720,360,2.25
2340,1080,461,2.8812501
1600,720,360,2.25
1480,720,280,1.75
2400,1080,440,2.75
2400,1080,450,2.8125
2636,1080,420,2.625
2280,1080,420,2.625
2340,1080,440,2.75
1920,1080,480,3
2208,1768,420,2.625
2280,1080,440,2.75
2340,1080,480,3
2340,1080,440,2.75
1520,720,280,1.75
1920,1080,540,3.375
2160,1080,540,3.375
1600,720,360,2.25
2340,1080,440,2.75
3216,1440,500,3.125
2340,1080,440,2.75
2400,1080,461,2.8812501
2400,1080,461,2.8812501
2232,1080,408,2.55
2340,1080,480,3
2400,1080,408,2.55
2280,1080,440,2.75
2400,1080,440,2.75
2400,1080,540,3.375
1920,1080,480,3
2340,1080,461,2.8812501
1920,1080,480,3
2400,1080,408,2.55
2560,1600,466,2.9125001
2408,1080,540,3.375
1920,1080,480,3
2280,1080,480,3
960,540,240,1.5
1920,1080,480,3
2248,1080,540,3.375
2280,1080,480,3
2340,1080,440,2.75
2340,1080,440,2.75
2248,1080,461,2.8812501
2340,1080,480,3
2256,1080,454,2.8375
3200,1440,544,3.4
2658,960,480,3
2340,1080,480,3
2160,1080,440,2.75
2376,1104,408,2.55
2248,1080,440,2.75
2280,1080,420,2.625
2400,1080,540,3.375
2312,1080,540,3.375
2248,1080,440,2.75
2152,1536,420,2.625
2260,1080,440,2.75
2316,1080,480,3
1080,1920,160,1
1280,720,320,2
2400,1080,540,3.375
2340,1080,440,2.75
1440,720,320,2
1920,1080,420,2.625
2376,1080,480,3
1440,720,320,2
2340,1080,480,3
2280,1080,440,2.75
2400,1080,480,3
2340,1080,440,2.75
1920,1200,320,2
2340,1080,440,2.75
2297,1080,450,2.8125
2340,1080,432,2.7
3200,1440,640,4
2160,1080,440,2.75
3040,1440,560,3.5
2340,1080,415,2.59375
1024,576,192,1.2
2560,1600,480,3
2280,1080,480,3
2248,1080,461,2.8812501
2340,1080,440,2.75
960,540,240,1.5
1920,1080,480,3
2340,1080,461,2.8812501
2340,1080,440,2.75
3200,1440,640,4
2316,1080,450,2.8125
1920,1080,480,3
2152,1536,420,2.625
2316,1080,480,3
1280,720,320,2
2158,1080,440,2.75
2400,1080,440,2.75
2400,1080,440,2.75
1014,480,240,1.5
2326,840,420,2.625
2316,1080,420,2.625
2772,1288,560,3.5
2340,1080,440,2.75
1464,720,320,2
2340,1080,440,2.75
2220,1080,420,2.625
3200,1440,600,3.75
1920,1080,480,3
2400,1080,440,2.75
2220,1080,540,3.375
2340,1080,490,3.0625
1920,1080,480,3
2340,1080,480,3
2340,1080,440,2.75
2400,1080,408,2.55
1600,720,272,1.7
2340,1080,440,2.75
2244,1080,408,2.55
2560,1440,640,4
1920,1080,480,3
1920,1080,480,3
2280,1080,420,2.625
2676,1236,442,2.7625
3040,1440,560,3.5
3200,1440,498,3.1125
1920,1080,503,3.14375
1280,720,240,1.5
1920,1080,480,3
2560,1440,544,3.4
1520,720,320,2
2340,1080,440,2.75
1520,720,320,2
2160,1080,490,3.0625
2400,1080,480,3
2340,1080,408,2.55
1920,1080,480,3
2244,1080,440,2.75
960,540,240,1.5
2400,1080,480,3
2248,1080,411,2.5687501
2280,1080,420,2.625
1920,1080,480,3
3200,1440,560,3.5
1920,1080,480,3
2560,1440,640,4
2376,1080,510,3.1875
2400,1080,461,2.8812501
1480,720,280,1.75
1560,720,360,2.25
2400,1080,454,2.8375
2280,1080,420,2.625
2340,1080,490,3.0625
1600,720,320,2
2400,1080,461,2.8812501
2232,1080,540,3.375
2340,1080,420,2.625
1560,720,320,2
2340,1080,440,2.75
1280,720,320,2
1600,720,320,2
2340,1080,374,2.3375
2560,1440,640,4
1920,1080,480,3
1440,720,360,2.25
2340,1080,440,2.75
2280,1080,440,2.75
2340,1080,440,2.75
2340,1080,440,2.75
1920,1080,540,3.375
2960,1440,560,3.5
2340,1080,480,3
1280,720,320,2
2340,1080,440,2.75
1560,720,320,2
2340,1080,440,2.75
1920,1080,480,3
2340,1080,408,2.55
1920,1080,480,3
2376,1152,480,3
2520,1080,408,2.55
1544,720,320,2
2340,1080,480,3
1014,480,240,1.5
2152,1536,420,2.625
2340,1080,540,3.375
1920,1080,480,3
1280,720,320,2
2160,1080,440,2.75
2340,1080,480,3
1920,1080,480,3
2248,1080,440,2.75
1920,1080,380,2.375
2160,1080,408,2.55
1280,800,210,1.3125
2280,1080,540,3.375
1080,2340,480,3
2160,1080,380,2.375
1600,720,272,1.7
3120,1440,560,3.5
2280,1080,408,2.55
1280,720,256,1.6
2340,1080,440,2.75
2408,1080,454,2.8375
2160,1080,440,2.75
2280,1080,480,3
1920,1080,540,3.375
2280,1080,461,2.8812501
2158,1080,440,2.75
2280,1080,420,2.625
2158,1080,352,2.2
2280,1080,440,2.75
2244,1080,440,2.75
2340,1080,408,2.55
1920,1080,480,3
1920,1080,480,3
2400,1080,461,2.8812501
2220,1080,480,3
2340,1080,461,2.8812501
1600,720,320,2
1280,720,320,2
1920,1080,480,3
1920,1440,320,2
2280,1080,461,2.8812501
2400,1080,480,3
1200,540,240,1.5
2340,1080,480,3
2560,1440,560,3.5
1560,720,320,2
1920,1080,360,2.25
2340,1080,440,2.75
1480,720,320,2
1440,3120,600,3.75
1560,720,360,2.25
1440,720,360,2.25
2400,1080,480,3
1920,1080,480,3
2340,1080,450,2.8125
2340,1080,440,2.75
2340,1080,352,2.2
1480,720,280,1.75
1920,1080,480,3
2400,1080,408,2.55
2400,1080,450,2.8125
2340,1080,480,3
2340,1080,440,2.75
1280,720,320,2
2340,1080,540,3.375
2340,1080,431,2.6937501
2400,1080,480,3
1440,720,320,2
2280,1080,540,3.375
1560,720,320,2
2160,1080,408,2.55
2280,1080,540,3.375
1440,720,320,2
2280,1080,450,2.8125
2220,1080,480,3
2400,1080,480,3
1600,720,272,1.7
1520,720,280,1.75
1920,1080,440,2.75
1440,720,360,2.25
2400,1080,540,3.375
1920,1080,480,3
2400,1080,540,3.375
2158,1080,540,3.375
1200,540,240,1.5
2400,1080,540,3.375
2960,1440,560,3.5
2280,1080,540,3.375
1920,1200,420,2.625
2340,1080,540,3.375
1280,720,320,2
2340,1080,480,3
1920,1080,540,3.375
2160,1080,480,3
1920,1080,480,3
2220,1080,480,3
2340,1080,540,3.375
2400,1080,480,3
1920,1080,480,3
1500,720,320,2
1280,720,320,2
2560,1600,320,2
1280,720,320,2
2280,1080,450,2.8125
2340,1080,480,3
2160,1080,440,2.75
2400,1080,540,3.375
3200,1440,560,3.5
2400,1080,480,3
2340,1080,480,3
2340,1080,480,3
960,540,240,1.5
2340,1080,540,3.375
2400,1080,461,2.8812501
2340,1080,461,2.8812501
1920,1080,480,3
1440,720,336,2.1000001
2400,1080,461,2.8812501
2400,1080,450,2.8125
2400,1080,480,3
2340,1080,461,2.8812501
2248,1080,440,2.75
2400,1080,540,3.375
1480,720,320,2
2160,1080,440,2.75
2400,1080,540,3.375
2880,1440,560,3.5
960,540,240,1.5
1600,720,320,2
2400,1176,480,3
2400,1080,408,2.55
1280,720,320,2
2400,1080,540,3.375
2340,1080,480,3
1920,1080,480,3
2340,1080,480,3
2340,1080,480,3
2400,1080,354,2.2125
2340,1080,480,3
3040,1440,640,4
2160,1080,490,3.0625
960,540,240,1.5
1920,1080,540,3.375
2400,1080,408,2.55
2400,1080,480,3
2340,1080,480,3
3040,1440,720,4.5
1560,720,280,1.75
2160,1080,420,2.625
1280,720,320,2
2340,1080,480,3
1920,1200,360,2.25
1520,720,320,2
2160,1080,440,2.75
1280,720,320,2
1920,1080,480,3
2400,1080,540,3.375
2220,1080,420,2.625
1920,1080,480,3
2340,1080,440,2.75
2400,1080,510,3.1875
1920,1080,480,3
1600,720,320,2
2160,1080,560,3.5
2340,1080,408,2.55
2158,1080,440,2.75
720,1600,320,2
1280,720,320,2
2340,1080,432,2.7
2160,1080,440,2.75
2400,1080,420,2.625
2400,1080,461,2.8812501
2400,1080,408,2.55
3168,1440,720,4.5
2400,1080,408,2.55
3040,1440,560,3.5
2560,1440,640,4
2340,1080,408,2.55
2248,1080,440,2.75
2400,1080,440,2.75
2340,1080,440,2.75
2160,1080,352,2.2
1600,720,320,2
2340,1080,440,2.75
3040,1440,560,3.5
2340,1080,461,2.8812501
1280,720,320,2
3200,1440,560,3.5
2400,1080,352,2.2
2340,1080,440,2.75
2340,1080,540,3.375
1440,720,336,2.1000001
2280,1080,420,2.625
2340,1080,374,2.3375
2159,1080,440,2.75
1960,840,420,2.625
2400,1080,510,3.1875
2400,1080,408,2.55
1736,1080,408,2.55
2340,1080,480,3
2400,1080,540,3.375
2400,1080,450,2.8125
2400,1080,461,2.8812501
2340,1080,480,3
2340,1080,480,3
2340,1080,440,2.75
2340,1080,461,2.8812501
2340,1080,480,3
2400,1080,440,2.75
2340,1080,352,2.2
2340,1080,640,4
2264,1080,440,2.75
1600,720,320,2
1080,1920,480,3
2340,1080,440,2.75
2248,1080,440,2.75
2280,1080,540,3.375
2260,1080,420,2.625
2400,1080,408,2.55
1280,720,320,2
1920,1080,408,2.55
2340,1080,440,2.75
2400,1080,540,3.375
2340,1080,440,2.75
1520,720,320,2
2280,1080,540,3.375
1920,1080,480,3
2280,1080,420,2.625
1560,720,320,2
2160,1080,408,2.55
1920,1080,540,3.375
1440,720,320,2
1280,720,320,2
2160,1080,540,3.375
2340,1080,440,2.75
2560,1440,640,4
2242,1080,480,3
2258,1080,480,3
2460,1080,480,3
2340,1080,420,2.625
2400,1080,461,2.8812501
1920,1080,540,3.375
2248,1080,480,3
1520,720,288,1.8000001
1920,1080,480,3
1440,720,256,1.6
3200,1440,680,4.25
2340,1080,461,2.8812501
1920,1080,400,2.5
1920,1080,540,3.375
1560,720,320,2
2340,1080,408,2.55
1920,1080,540,3.375
1920,1080,420,2.625
2160,1080,440,2.75
1920,1080,480,3
2240,1080,480,3
3200,1440,577,3.60625
2400,1080,540,3.375
1920,1080,480,3
2340,1080,440,2.75
2158,1080,440,2.75
2560,1440,640,4
2400,1080,540,3.375
1600,720,280,1.75
2400,1080,510,3.1875
2400,1080,408,2.55
1600,720,320,2
1920,1080,420,2.625
2400,1080,408,2.55
1920,1080,503,3.14375
2340,1080,352,2.2
2340,1080,480,3
2160,1080,440,2.75
2280,1080,408,2.55
2400,1080,440,2.75
2400,1080,480,3
1280,720,320,2
2208,1768,420,2.625
2340,1080,490,3.0625
2240,1080,480,3
1280,720,320,2
2340,1080,352,2.2
2400,1080,480,3
2340,1080,540,3.375
3040,1440,560,3.5
2280,1080,540,3.375
2160,1080,440,2.75
2960,1440,640,4
2280,1080,503,3.14375
1560,720,272,1.7
2248,1080,440,2.75
2340,1080,540,3.375
960,540,240,1.5
2280,1080,440,2.75
1920,1080,280,1.75
2340,1080,440,2.75
2220,1080,540,3.375
2400,1080,450,2.8125
1600,900,240,1.5
2560,1600,360,2.25
2160,1080,440,2.75
2160,1080,500,3.125
2400,1176,534,3.3375
2160,1080,440,2.75
2960,1440,640,4
1920,1080,440,2.75
2160,1080,540,3.375
1480,720,280,1.75
2560,1600,420,2.625
2280,1080,480,3
2400,1080,480,3
2160,1080,440,2.75
854,480,160,1
2340,1080,540,3.375
1560,720,360,2.25
1600,900,240,1.5
2160,1080,540,3.375
1920,1080,440,2.75
2340,1080,490,3.0625
3120,1440,490,3.0625
2340,1080,440,2.75
1600,720,320,2
2220,1080,420,2.625
1920,1080,480,3
1920,1080,408,2.55
2244,1080,440,2.75
2340,1080,510,3.1875
2280,1080,480,3
1600,720,360,2.25
2400,1080,408,2.55
2560,1440,560,3.5
2160,1080,440,2.75
2160,1080,490,3.0625
2220,1080,420,2.625
2340,1080,401,2.5062501
2160,1080,480,3
1560,720,320,2
1540,720,320,2
2316,1080,420,2.625
3040,1440,600,3.75
1920,1080,480,3
1920,1080,440,2.75
1520,720,320,2
2400,1080,540,3.375
2400,1080,540,3.375
2240,1080,480,3
2376,1152,528,3.3
2340,1080,480,3
1600,720,320,2
2400,1080,480,3
2160,1080,440,2.75
1520,720,336,2.1000001
2408,1080,480,3
2260,1080,440,2.75
2244,1080,490,3.0625
3120,1440,470,2.9375
2400,1080,408,2.55
2340,1080,440,2.75
2340,1080,480,3
1520,720,274,1.7125
2400,1080,540,3.375
1920,1080,440,2.75
1560,720,280,1.75
2340,1080,480,3
2220,1080,420,2.625
2340,1080,440,2.75
2340,1080,540,3.375
2340,1080,440,2.75
2400,1080,540,3.375
2340,1080,480,3
2232,1080,408,2.55
2400,1080,420,2.625
1920,1080,540,3.375
2400,1080,450,2.8125
2400,1080,408,2.55
2400,1080,408,2.55
3200,1440,640,4
1520,720,320,2
1280,720,320,2
2960,1440,560,3.5
2340,1080,450,2.8125
1920,1080,480,3
2400,1080,540,3.375
1600,720,320,2
2400,1080,408,2.55
2280,1080,420,2.625
2408,1080,420,2.625
3120,1440,560,3.5
2400,1080,440,2.75
2340,1080,356,2.2250001
2280,1080,440,2.75
2160,1080,461,2.8812501
2412,1080,380,2.375
2160,1080,440,2.75
2201,1080,420,2.625
2280,1080,454,2.8375
1280,800,210,1.3125
1920,1080,540,3.375
2280,1080,540,3.375
2340,1080,490,3.0625
3040,1440,600,3.75
1560,720,320,2
2412,1080,420,2.625
2520,1080,420,2.625
2340,1080,480,3
1920,1080,480,3
2160,1080,440,2.75
2340,1080,540,3.375
2332,1080,450,2.8125
2340,1080,440,2.75
1520,720,300,1.875
1440,720,320,2
2340,1080,440,2.75
1520,720,320,2
2880,1440,544,3.4
2280,1080,440,2.75
1280,720,360,2.25
2400,1080,440,2.75
2220,1080,480,3
1920,1080,440,2.75
2232,1080,408,2.55
2340,1080,440,2.75
2340,1080,411,2.5687501
1920,1080,420,2.625
2560,1096,548,3.425
1920,1080,480,3
3120,1440,560,3.5
2400,1080,480,3
1560,720,272,1.7
2280,1080,420,2.625
2560,1440,640,4
1080,2280,480,3
1920,1080,480,3
2412,1080,540,3.375
2340,1080,326,2.0375001
2220,1080,480,3
2400,1080,480,3
2316,1080,480,3
960,540,240,1.5
1600,720,320,2
2340,1080,420,2.625
1920,1080,480,3
1544,720,320,2
2960,1440,560,3.5
2400,1080,461,2.8812501
1920,1080,480,3
3040,1440,640,4
2340,1080,440,2.75
2340,1080,480,3
1920,1080,440,2.75
1920,1080,420,2.625
2340,1080,440,2.75
2304,1080,454,2.8375
2160,1080,432,2.7
2340,1080,440,2.75
2340,1080,540,3.375
2244,1080,480,3
2412,1080,380,2.375
2400,1128,534,3.3375
2640,1200,480,3
2160,1080,440,2.75
2400,1080,408,2.55
2248,1080,440,2.75
480,320,160,1
2460,1080,408,2.55
1920,1080,461,2.8812501
1920,1080,480,3
2160,1080,480,3
1280,720,320,2
2400,1080,540,3.375
2160,1080,440,2.75
2400,1080,408,2.55
2960,1440,560,3.5
3200,1440,600,3.75
1280,800,240,1.5
2400,1080,450,2.8125
2400,1080,360,2.25
2340,1080,540,3.375
1080,2340,440,2.75
2220,1080,420,2.625
2340,1080,440,2.75
1520,720,320,2
2220,1080,540,3.375
2376,1080,540,3.375
2520,1080,422,2.6375
2340,1080,440,2.75
1920,1080,420,2.625
2400,1080,408,2.55
2400,1080,408,2.55
2240,1080,480,3
2160,1080,420,2.625
2158,1080,440,2.75
2158,1080,490,3.0625
2400,1080,461,2.8812501
2400,1080,540,3.375
2340,1080,408,2.55
2340,1080,440,2.75
2400,1080,540,3.375
2220,1080,360,2.25
2400,1080,408,2.55
2340,1080,432,2.7
1960,840,420,2.625
2244,1080,480,3
2960,1440,640,4
2340,1080,352,2.2
2340,1080,480,3
1280,720,336,2.1000001
1920,1080,440,2.75
2280,1080,480,3
2340,1080,440,2.75
1520,720,320,2
2160,1080,440,2.75
2340,1080,432,2.7
2340,1080,440,2.75
2400,1080,440,2.75
2400,1080,461,2.8812501
2264,1080,440,2.75
1080,2400,480,3
2280,1080,480,3
1520,720,320,2
1920,1200,400,2.5
2340,1080,408,2.55
2160,1080,490,3.0625
2160,1080,440,2.75
2248,1080,352,2.2
2340,1080,440,2.75
1280,720,320,2
1280,720,320,2
1600,720,320,2
2400,1080,450,2.8125
2400,1080,540,3.375
2220,1080,540,3.375
3040,1440,560,3.5
2400,1080,440,2.75
2400,1080,540,3.375
2340,1080,420,2.625
2340,1080,440,2.75
3216,1440,720,4.5
2400,1080,510,3.1875
1920,1080,440,2.75
3200,1440,720,4.5
2260,1080,440,2.75
2400,1080,408,2.55
1080,2340,440,2.75
2340,1080,420,2.625
2560,1440,560,3.5
1920,1080,440,2.75
2248,1080,374,2.3375
2264,1080,440,2.75
2400,1080,540,3.375
2340,1080,440,2.75
1560,720,320,2
2340,1080,480,3
2520,1080,500,3.125
2340,1080,469,2.93125
1540,720,320,2
1920,1080,480,3
1520,720,300,1.875
2258,1080,480,3
